order_number,date,warehouse,client_type,product_line,quantity,unit_price,total,payment,payment_fee
N11100,2021-01-2,West,Wholesale,Suspension & traction,8,51.0,408.0,Credit card,4.93
N11101,2021-01-25,North,Retail,Frame & body,20,475.39,9507.8,Credit card,2.08
N11102,2021-01-8,West,Wholesale,Miscellaneous,8,250.0,2000.0,Cash,3.03
N11103,2021-01-13,Central,Wholesale,Braking system,8,120.19,961.52,Credit card,3.15
N11104,2021-01-7,West,Wholesale,Frame & body,11,349.38,3843.18,Credit card,1.2
N11105,2021-01-28,North,Retail,Frame & body,18,400.02,7200.36,Cash,2.53
N11106,2021-01-4,Central,Wholesale,Frame & body,11,48.12,529.32,Cash,3.09
N11107,2021-01-25,Central,Retail,Miscellaneous,9,419.76,3777.84,Transfer,1.16
N11108,2021-01-28,Central,Retail,Miscellaneous,12,395.95,4751.4,Cash,5.0
N11109,2021-01-1,North,Wholesale,Miscellaneous,14,421.13,5895.82,Cash,3.72
N11110,2021-01-3,Central,Wholesale,Electrical system,18,347.24,6250.32,Transfer,1.47
N11111,2021-01-2,North,Wholesale,Suspension & traction,12,257.01,3084.12,Transfer,3.29
N11112,2021-01-7,North,Retail,Braking system,16,36.25,580.0,Cash,2.46
N11113,2021-01-23,West,Retail,Braking system,14,461.94,6467.16,Credit card,2.27
N11114,2021-01-17,Central,Retail,Electrical system,2,370.34,740.68,Cash,3.73
N11115,2021-01-11,West,Retail,Miscellaneous,4,465.54,1862.16,Transfer,1.42
N11116,2021-01-25,Central,Wholesale,Suspension & traction,6,271.83,1630.98,Cash,1.54
N11117,2021-01-16,North,Retail,Suspension & traction,16,145.54,2328.64,Transfer,1.43
N11118,2021-01-19,North,Wholesale,Electrical system,16,127.31,2036.96,Transfer,1.75
N11119,2021-01-23,West,Wholesale,Frame & body,8,479.28,3834.24,Transfer,4.5
N11120,2021-01-19,West,Retail,Frame & body,12,307.19,3686.28,Transfer,3.27
N11121,2021-01-12,Central,Wholesale,Miscellaneous,7,124.93,874.51,Transfer,2.62
N11122,2021-01-18,North,Wholesale,Suspension & traction,12,430.22,5162.64,Cash,1.61
N11123,2021-01-10,Central,Wholesale,Frame & body,14,149.74,2096.36,Credit card,1.85
N11124,2021-01-28,North,Retail,Braking system,6,14.7,88.2,Transfer,3.12
N11125,2021-01-3,Central,Retail,Electrical system,17,97.39,1655.63,Credit card,4.55
N11126,2021-01-1,North,Wholesale,Suspension & traction,14,235.13,3291.82,Transfer,2.17
N11127,2021-01-21,North,Wholesale,Braking system,9,404.38,3639.42,Transfer,2.67
N11128,2021-01-9,West,Wholesale,Electrical system,2,22.65,45.3,Cash,4.09
N11129,2021-01-13,North,Retail,Frame & body,17,74.77,1271.09,Cash,1.46
N11130,2021-01-1,North,Retail,Suspension & traction,8,228.99,1831.92,Credit card,1.25
N11131,2021-01-26,Central,Retail,Suspension & traction,9,200.22,1801.98,Cash,2.53
N11132,2021-01-28,West,Retail,Suspension & traction,19,290.28,5515.32,Cash,2.14
N11133,2021-01-25,Central,Retail,Suspension & traction,17,42.52,722.84,Credit card,4.34
N11134,2021-01-10,West,Retail,Braking system,1,149.94,149.94,Transfer,2.88
N11135,2021-01-12,West,Wholesale,Miscellaneous,12,483.4,5800.8,Cash,2.7
N11136,2021-01-15,West,Retail,Frame & body,5,96.64,483.2,Credit card,3.4
N11137,2021-01-15,West,Wholesale,Suspension & traction,20,204.07,4081.4,Cash,4.78
N11138,2021-01-25,West,Wholesale,Frame & body,19,71.05,1349.95,Transfer,2.88
N11139,2021-01-23,North,Wholesale,Suspension & traction,15,253.03,3795.45,Transfer,3.43
N11140,2021-01-7,West,Retail,Braking system,7,309.93,2169.51,Transfer,1.84
N11141,2021-01-5,North,Retail,Miscellaneous,14,218.02,3052.28,Cash,3.8
N11142,2021-01-12,West,Retail,Braking system,14,140.88,1972.32,Cash,3.16
N11143,2021-01-8,West,Retail,Electrical system,4,270.92,1083.68,Credit card,3.62
N11144,2021-01-17,North,Retail,Braking system,12,261.68,3140.16,Cash,1.79
N11145,2021-01-15,West,Wholesale,Miscellaneous,12,80.46,965.52,Cash,4.58
N11146,2021-01-7,Central,Wholesale,Frame & body,9,165.97,1493.73,Cash,2.16
N11147,2021-01-26,Central,Wholesale,Braking system,18,107.94,1942.92,Cash,4.61
N11148,2021-01-19,West,Wholesale,Miscellaneous,11,149.51,1644.61,Cash,2.32
N11149,2021-01-9,North,Wholesale,Suspension & traction,9,485.32,4367.88,Cash,2.76
N11150,2021-01-24,North,Retail,Electrical system,9,166.64,1499.76,Transfer,2.3
N11151,2021-01-15,West,Wholesale,Electrical system,11,496.12,5457.32,Credit card,1.29
N11152,2021-01-9,West,Retail,Braking system,7,499.88,3499.16,Credit card,2.45
N11153,2021-01-10,West,Wholesale,Miscellaneous,10,435.08,4350.8,Credit card,3.07
N11154,2021-01-27,West,Wholesale,Braking system,19,33.98,645.62,Transfer,3.56
N11155,2021-01-19,Central,Retail,Electrical system,1,443.85,443.85,Credit card,3.88
N11156,2021-01-5,West,Wholesale,Electrical system,8,15.52,124.16,Cash,1.29
